city,name,address,cuisine,rating,votes,cost,Latitude,Longitude
Aligarh,Pahalwan Lassi Wale & Sweets,"Pahalwan Lassi Wale & Sweets, Khai Dora, Zone 7, Aligarh Locality, Aligarh,Test-Aligarh,Aligarh",Indian,4.7,100,250,27.8784476,78.0691789
Aligarh,STAR RESTAURANT,"STAR RESTAURANT, SURYA VIHAR COLONY NEAR KAVERI VATIKA, ALIGARH","North Indian,Indian",4.5,20,300,27.8865101,78.0872999
Allahabad,Kamdhenu,"Kamdhenu, 1, Elgin Road, Civil Lines, Prayagraj","Bakery,Chaat",4.5,50,300,25.4538547,81.8292529
Allahabad,The Belgian Waffle Co.,"The Belgian Waffle Co., 27A/7/17 VINAYAK COMPLEX, LBS MARG, ELGIN ROAD, CIVIL LINES, PRAYAGRAJ- 211001","Desserts,Beverages",4.5,100,200,25.4524535,81.8369532
Allahabad,The Baking Co. ( By Elchico),"The Baking Co. ( By Elchico), 142A, 32, Mahatma Gandhi, Civil Lines, Allahabad- 211001","Bakery,Fast Food",4.5,50,200,25.451053,81.83359
Allahabad,NIC Natural Ice Creams,"NIC Natural Ice Creams, Building No12/12, Ground Floor, Shop No-2, TB Sapru Marg,Mayo Hall,Prayagraj, Uttar Pradesh-211001","Ice Cream,Desserts",4.6,500,120,25.4675547,81.8166071
Allahabad,Grameen Kulfi,"Grameen Kulfi, Building No12/12, Ground Floor, Shop No-2, TB Sapru Marg,Mayo Hall,Prayagraj, Uttar Pradesh-211001","Ice Cream,Desserts",4.7,100,120,25.4675547,81.8166071
Allahabad,MICHAEL SARDARJI,"MICHAEL SARDARJI, 5 , Ashoka Road, gate 1, near High court, Prayagraj, Uttar Pradesh 211001",Indian,4.5,50,240,25.4578135,81.8206995
Allahabad,Mohan Lassi Bhandar,"Mohan Lassi Bhandar, 18/36 Sarai Mir Khan,NAGAR NIGAM FOOD SAFETY ZONE-06,PRAYAGRAJ,UTTAR PRADESH-211003","Beverages,Sweets",4.7,20,300,26.0052917,82.9447782
Allahabad,Domino's Pizza,"Domino's Pizza, Ground Floor,31A/31Plot No. Qq1Civil StationSardar Patel Marg",Pizzas,4.5,100,400,,
Allahabad,Vaishnavi Kitchen,"Vaishnavi Kitchen, 76/1 Ganesh Nagar Muirabad, Allahabad,Allahabad Tahsil, Prayagraj,","Indian,Snacks",4.6,20,300,25.4789124,81.8456593
Alwar,Grameen Kulfi,"Grameen Kulfi, Shop No 01, Old Station Rd, Alwar, Rajasthan 301001","Ice Cream,Desserts",4.5,20,120,27.5631105,76.6173726
Ambala,Kakoo Zee Ice Cream,"Kakoo Zee Ice Cream, Shop No.4,Opp. Capital Cinema, Ambala Cantt","Ice Cream,Beverages",4.6,20,200,30.3472614,76.8362097
Ambikapur,Tibet Kitchen,"Tibet Kitchen, OLD BUS STAND, SHIVDHARI ARCADE SHOP NO 9 BHAGWANPUR, AMBIKAPUR","Indian,Chinese",4.6,50,200,23.1185519,83.1930308
Ambur,IBACO,"IBACO, DOOR NO: P3, SHOP NO 1,2,3,4, GROUND FLOOR NEXT MOGHAL RESTAURANT, M C ROAD NH48, AMBUR -635802","Ice Cream,Desserts",4.6,20,200,12.7809197,78.7183865
Ambur,N.R.BRIYANI & KABAB,"N.R.BRIYANI & KABAB, no:95,opp to K.M. Hospital,M.C.road,Ambur-635802","Fast Food,Arabian",4.8,20,250,12.785924,78.721776
Amreli,Akshar Restaurant,"Akshar Restaurant, Station Road Sahajanand Market 1st Floor,Amreli","North Indian,Punjabi",4.7,20,150,21.6012253,71.2193562
Amritsar,Shri Krishna Misthan Bhandar Mandir Shri Longawali  Devi Ji,"Shri Krishna Misthan Bhandar Mandir Shri Longawali  Devi Ji, Mandir shri longawali devi town hall amritsar","Sweets,Snacks",4.5,100,250,31.6248216,74.8785421
Amritsar,Kwality Walls Frozen Dessert and Ice Cream Shop,"Kwality Walls Frozen Dessert and Ice Cream Shop, SHOP NO 7, SHIVALA ROAD, NEAR SHIVALA MANDIR, , Police Station A, Amritsar 1(P/S A,B,C,D,E and Sadar,Islamabad,Gate Hakima), Amritsar, Punjab, 143001",Ice Cream,4.6,50,300,31.6134016,74.8642366
Amritsar,Keventers - Milkshakes and Desserts,"Keventers - Milkshakes and Desserts, Near Summer Palace of Maharaja Ranjit Singh Andcrystel Chowk, M/s Food Library Connected to Cooper Road and Queen Road, Amritsar , Amritsar, Punjab-143001","Beverages,Ice Cream",4.5,50,300,31.6355774,74.8759716
Amritsar,V Cafe - Meals By PVR,"V Cafe - Meals By PVR, PVR LTD, Suraj Chanda tara City Centre near bus stand Maha Singh Gate Road Amritsar 143001","Pizzas,Snacks",4.8,20,400,31.6278971,74.8837778
Amritsar,Vaango,"Vaango, Food Court , G.T. Road Maharaja Ranjit Singh Nagar, Urban Haat. Ram Bhag, Amritsar, Punjab 143001",South Indian,4.5,20,250,31.6359769,74.8774829
Amritsar,Ghar Ka Khana,"Ghar Ka Khana, Pragdass chowk opposite gali nichanchiyan amritsar","North Indian,Chinese",4.5,50,200,31.6181023,74.880001
Amritsar,NIC Natural Ice Creams,"NIC Natural Ice Creams, Cafe Chokolade, 101, District Shopping Center, B - Block, Ranjit Avenue, Amritsar, Punjab 143001","Desserts,Ice Cream",4.5,500,120,31.6506799,74.8624777
Amritsar,Superior Chick-inn,"Superior Chick-inn, Opposite Gali 3, Ranjeet Vihar, Loharka Road, Ranjit Nagar, Amritsar","North Indian,Beverages",4.5,20,250,31.6339793,74.8722642
Amritsar,Kgf Food Point,"Kgf Food Point, 28 , Diamond Avenue , Majitha Road , Amritsar","Chinese,Snacks",4.5,20,200,31.667949,74.895088
Anand,The Belgian Waffle Co.,"The Belgian Waffle Co., G10 Triveni Arcade,Anand VV Nagar Road,Anand  388315","Desserts,Beverages",4.5,50,200,22.550394,72.9339546
Anand,Vadilal Scoop Shop,"Vadilal Scoop Shop, GF SHOP NO. 10, RAMDEV RESIDENCY, NEAR GANGABA CHHATRALAY, V.V ROAD, KARAMSAD, DIST - ANAND 388001",Ice Cream,4.7,50,300,22.5429215,72.9017603
Anand,Relish World,"Relish World, 89/10, Sanket Tower, Near Grid Crossing, Anand 388001","South Indian,North Indian",4.7,20,200,22.5555487,72.9505728
Anantapur,MUTHYAL REDDY MILK DAIRY,"MUTHYAL REDDY MILK DAIRY, door no : 13-3-379-7, RTC BUS STAND ROAD , ANANTAPURAM , 515001",Sweets,4.6,50,300,14.6836897,77.601598
Anantapur,Grameen Kulfi,"Grameen Kulfi, NIC Natural Ice Cream -Shop No -01, 20-114 Lal band street Anantapur, Andhra Pradesh , 515001","Ice Cream,Desserts",4.5,100,120,14.6745414,77.6006698
Anantapur,BBQ on Wheelz,"BBQ on Wheelz, Azad Nagar, Kalyandurgam Road, Near Razaq Hospital, Anantapur.",Biryani,4.5,50,200,14.6818877,77.6005911
Asansol,Hotel Priyanka International & Restaurant,"Hotel Priyanka International & Restaurant, BURNPUR ROAD, OPP. POLICE LINE, SARAT MANCH, ASANSOL- 713301","Indian,Chinese",4.5,20,300,23.6927413,86.9492386
Asansol,Mama Mia! Italian Ice Creams,"Mama Mia! Italian Ice Creams, S B Ghorai Road, Hill View (North), Opposite- Hill View Nursing Home, (Bye lane, 1st Right Turn, Back side of Petrol Pump), P O- Asansol, Dist- Paschim Burdwan, West Bengal","Ice Cream,Ice Cream Cakes",4.5,100,200,23.6887002,87.1023746
